chain_id,validator_name,validator_address,target_weight
injective-1,Black Panther | Delegate for Claimdrop,injvaloper10pe4avat38u38yzj5hvnw235uecfff6c73s8fn,231
injective-1,miPool,injvaloper1f68rd44mhx5lu9nz4lkq9wjeucj0gcja66sy8l,231
injective-1,Imperator.co,injvaloper1esud09zs5754g5nlkmrgxsfdj276xm64cgmd3w,226
injective-1,Republic,injvaloper1nxq05qdle8w5gm6fagda56euwt4rgvv4ktddcc,213
injective-1,B-Harvest,injvaloper1zpy3qf7us3m0pxpqkp72gzjv55t70huy33t47x,167
injective-1,Smart Stake,injvaloper1xwsnq88kc8wcrp34qenxf3dvhl5n02yj93u755,162
injective-1,HighStakes.ch | Daily Airdrops,injvaloper1f2kdg34689x93cvw2y59z7y46dvz2fk8lhddfz,153
injective-1,Helios Staking,injvaloper1ffsdugrhfzdyxltjve8v68n6aazyc6p97uhfn0,150
injective-1,Keplr,injvaloper1845wspsvm3z95a2zycz3t49gn7celq48dlyscc,144
injective-1,AutoStake 🛡️ Slash Protected,injvaloper1acgud5qpn3frwzjrayqcdsdr9vkl3p6hrz34ts,137
injective-1,NTT DOCOMO GLOBAL,injvaloper177zqwtsnuhax28w5xpmf33wsl7l2xxf6y6xshc,136
injective-1,Crosnest,injvaloper1fqrdtx7pyps6eytn3356j9cs4f8zl0eevlt3rt,126
injective-1,Deutsche Telekom,injvaloper1nngrhnm65wm8pu7wkah6hfs3vpd0xw463ydd65,114
injective-1,Lavender.Five Nodes 🐝,injvaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgwg3jckk,105
juno-1,The_Cybernetics,junovaloper1yfx5x9cs3nvncprlw0kuw2cgs9qq38uqnwfhd8,988
juno-1,DAO DAO,junovaloper185hgkqs8q8ysnc8cvkgd8j2knnq2m0ah6ae73gntv9ampgwpmrxqlfzywn,988
juno-1,SG-1,junovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcqcnylw,988
juno-1,Allnodes,junovaloper1v3lnt5cjjk9658yyrv2673pcqx3nzvkg256xjp,774
juno-1,Kintsugi Nodes,junovaloper1juczud9nep06t0khghvm643hf9usw45r23gsmr,744
juno-1,polkachu.com,junovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvzc6k3,618
juno-1,SmartNodes 🛡 Slash Protected,junovaloper1q3jsx9dpfhtyqqgetwpe5tmk8f0ms5qywje8tw,557
