Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
StakeLab.zone,umeevaloper1gxgsq7jpkg0f8vfkk60c4rd30z4cgs6lyqtglf,0,588118330899,588118330899,5.00%,N,N,,,N,inactive,0.00%,
<decommissioned>,umeevaloper15q60m3zpraugqjxty79hynl3vf92aux068wjmt,0,515462640832,515462640832,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
BartestneT,umeevaloper147svk58r7xy774cdknkzj3qyn7tm9v9jj0xwag,0,514798564590,514798564590,10.00%,N,N,,,N,inactive,0.00%,
0xfork,umeevaloper1c0vfzx0jry7f38lwpgrhld895e2tm7mt8um293,0,505601236297,505601236297,5.00%,N,N,,,N,inactive,0.00%,
DECOMMISSIONED: Please do not stake,umeevaloper1a7ys99e72kt4dslz5xuj8vhwgqynln80meu44m,0,499680358136,499680358136,5.00%,N,N,,,N,inactive,0.00%,
ppx,umeevaloper1jprs0y0mdc8q2h7rjps2frmx34djclnccqjm7a,0,358199666852,358199666852,5.00%,N,N,,,N,inactive,0.00%,
Kintsugi Nodes,umeevaloper1r9nvqznfnx5qvjyrqmqe5cjds6pd30xly0aw53,0,326911902156,326911902156,8.00%,N,N,,,N,inactive,0.00%,
Deprecated Validator,umeevaloper1apvm4x22yznxqkwazhh49slucgr34962r2gyau,0,312815582314,312815582314,5.00%,N,N,,,N,inactive,0.00%,
"Validator will become inactive on 12.08. Please, redelegate tokens",umeevaloper1u42wxen67wqcqad3fwlnvf77fagedu4k9zprsl,0,296102993152,296102993152,10.00%,N,N,,,N,inactive,0.00%,
Active Nodes | Redelegate before March 12 |,umeevaloper1j6l7zpwnmkrdkat5f84d79aanr5em9cumzly8j,0,294857954433,294857954433,7.00%,N,N,,,N,inactive,0.00%,
SkyNet | Validators,umeevaloper18s567a3dxf09q7erpcp8q20dpauugxwx8xsrcc,0,284907042427,284907042427,5.00%,N,N,,,N,inactive,0.00%,
Stakewolle.com | redelegation until 17 Feb,umeevaloper1wusrw8nzgs6d8d47xqej5xqttvsu2geftfgu5f,0,251929019508,251929019508,5.00%,N,N,,,N,inactive,0.00%,
CNode1,umeevaloper1pzn9x2h34xhxcd4ev68hruy7rwn2kec5assp6h,0,233822191116,233822191116,5.00%,N,N,,,N,inactive,0.00%,
Staketab,umeevaloper1rgvzc9799x763wemtnwdvg5r7xjnqvzx4uumfh,0,226582694457,226582694457,5.00%,N,N,,,N,inactive,0.00%,
