Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
The Node will soon cease operating,cosmosvaloper1hlwku8r5h34zayle405tlesvrg5svu7ugkld20,0,67537049,67537049,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Mythos,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,0,66116818,66116818,15.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Nodeist,cosmosvaloper1pp82zzdgf4cvgwkkutkwnfu9vzcm6rpryn2wcc,0,65295007,65295007,7.50%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Restake,cosmosvaloper18er5376et00utmnqzjhgkl5v9chq68s42twyke,0,63303188,63303188,5.00%,N,Y,,,N,"uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Dominator,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,0,61136775,61136775,15.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
piggy-coin.com 🐷,cosmosvaloper1zp6kg7qlmztyw2km2af4z5ruz5vn04cp9npe79,0,59342063,59342063,25.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
firstblock,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,0,58058800,58058800,20.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Titan Network | Delegate for Claimdrop,cosmosvaloper1657gj6ggfumyuq8dmfggsudxshp0kfhm7e65gy,0,57091794,57091794,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Anonstake,cosmosvaloper1vjn3559ncztu87qj8v4ryasgny7vjfx7jhxzu6,0,53518151,53518151,6.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
AuraStake,cosmosvaloper19wrdj9k875s49p6zpxcf627tjsw4p5tzrq78la,0,52994700,52994700,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Sanka Network,cosmosvaloper1uyt0yuv7cz7ppwefl9ths336ln7ysvg2jlj76t,0,52966250,52966250,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Seraphim,cosmosvaloper1fwc57kq4ru4c2fuumpqpljj8aqy24e3fzhlp3n,0,52014005,52014005,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Helios,cosmosvaloper1jr546rywn2cnvdv9whrlqfkh48djx37slx4s6q,0,51000000,51000000,10.00%,N,Y,,,N,"uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
CosmosLink,cosmosvaloper1l9fwl9c77zx850htsr20pq3ltc379xt86ndelm,0,50576278,50576278,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
✨👱🏻‍♀️ JADE DAO 👱🏻‍♀️✨,cosmosvaloper1v0g7guekttkdmerz5z8hjj8u8j68c6p00zqgf5,0,50544211,50544211,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
ContributionDAO,cosmosvaloper1q2v728c5g8ggvrr7dgc4madt9px2hlpdxpfmug,0,50450696,50450696,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
hulk,cosmosvaloper1rrlevagmm7lv0kcysnf8v95pxjtt4fjhh8jz5k,0,49995000,49995000,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
inactive validator Do NOT delegate,cosmosvaloper18kz84x6fv7ep7xvme8x2e4254t404efvhjqst8,0,49319459,49319459,5.00%,N,N,,,N,"inactive, name_excluded (do not delegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
coinhall.org 📈🔄,cosmosvaloper1xnrth5rku3z3msm9prxe3l0p2yec3d9mzxz9ka,0,48932547,48932547,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Dont Use,cosmosvaloper1vk706z2tfnqhdg6jrkngyx7f463jq58nj0x7p7,0,48838028,48838028,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Numenor.one,cosmosvaloper1vh3mytf5mahtqkdzg76v6j6xtu7wks9dejqlhe,0,48104000,48104000,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
melange,cosmosvaloper1cz6q5nys0tgupq2mt99amsltepglxqgwfs6fum,0,45739023,45739023,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
MMS,cosmosvaloper1n5epesmpcyx9x643aa3m9qw2fk3tf0myesv9zw,0,45263372,45263372,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
lino-network,cosmosvaloper1mrnrqgl4d5hqsfdcgnjfarjnlk43rs89gyz94x,0,45006501,45006501,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
CosmosOne,cosmosvaloper1pexrxk6s9aznl8ap2g8jr87ktc3a7dd8xf0etj,0,44385181,44385181,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
*% Fee - Mpress 🚀,cosmosvaloper1zmr5mglwkkru7m3q8sxcg66gxr508v6h6lv8fg,0,41035100,41035100,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
NASDAQ-BTCS,cosmosvaloper1tk2xujvwtn0q60u8xelh50u9xzqvrnpk4d00qj,0,40500929,40500929,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Matterhorn,cosmosvaloper1t3x2vutaan59q0jf55yyc24fmae9gljlalrldg,0,39700884,39700884,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
INACTIVE,cosmosvaloper1l634uf3kmyrtg6pl2dpfar9fdkjgtcmqjscd86,0,39047137,39047137,5.00%,N,N,,,N,"inactive, name_excluded (inactive), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
MyCosmosValidator,cosmosvaloper1zf37grr7nxffaacqfdyw5laeetnxm546aqz6uj,0,37835515,37835515,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Cobak,cosmosvaloper1ptz7xq0fanh4kfvp6fdhevkx90axaq7drwcwjl,0,36585400,36585400,12.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
AgoraNodes,cosmosvaloper1zgw8kzwl9na7egn7l9u8d6e2vtf0tvs896relx,0,36236400,36236400,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
mythos-legacy,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,0,36038419,36038419,15.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
noogra.nuts,cosmosvaloper13hule0xx8gvzjrgstqjct0kwygfh7kd03dr93f,0,33856700,33856700,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Interchain,cosmosvaloper1j78gfl4ml9h2xdduhw2cpgheu3hdalkpuvk7m5,0,32885768,32885768,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Validatrium.com - 0% fee,cosmosvaloper102zp2v3ysn8nhuk5q7lvxzsthg8usmw2c0s405,0,30538000,30538000,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
#NGC StakeX,cosmosvaloper1wukx88lfn7l4gfmrgsy96h6kf5tvrv3ucg502l,0,29975012,29975012,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Fanfury | fury.fan | Stake to Win,cosmosvaloper12lfqufkk2h3w2ycp50czme6nj3ln5tdv7nj3hx,0,29906539,29906539,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Disperze,cosmosvaloper1zdzerwr2jh2ngmlfvrn480yw6krxnyewls7v0j,0,27507300,27507300,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
BlockMatrix 🚀,cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,0,26341183,26341183,15.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Spacebot,cosmosvaloper1zwrav6vq7a9g37vwt6nl8ra63hhc20emsmvyp5,0,26199153,26199153,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
DO NOT STAKE | Bity.com,cosmosvaloper1uv26ytrnmydyctq0s58ve2k6wn2p653mqs80fm,0,26012066,26012066,10.00%,Y,N,,,N,"inactive, CEX, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Blockscale,cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,0,24328720,24328720,25.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
cosmosvaloper1p42rgfdq500nlt387l4f0vfv5p90dl6ftr8jds,cosmosvaloper1p42rgfdq500nlt387l4f0vfv5p90dl6ftr8jds,0,21501266,21501266,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
BPSCOSMOS,cosmosvaloper1yyhjumfj2lvsgzwhvk6fcezgwu6q70d0j59hlf,0,21317709,21317709,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
gf.network,cosmosvaloper1dse76yk5jmj85jsd77ewsczc4k3u4s7a870wtj,0,20991705,20991705,8.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
BTC.Secure,cosmosvaloper1wa9zrywwzzwcvarngjq3rrhv6z9gzw4htq3sv3,0,20665887,20665887,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
NEOPLY,cosmosvaloper142w8q2l0gxsfna72gq8t7e4ee4ul37e9htgtxx,0,19549436,19549436,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Unity Nodes,cosmosvaloper12qjmna3sd0hrg766etek5wkg3t7sahxmkrkx87,0,19000000,19000000,10.00%,N,Y,,,N,"uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
GaiaGuard,cosmosvaloper1t5n8x4sggse7a3xpggssp3arr6v85e6pktftl2,0,18998105,18998105,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
🦊 The Silver Fox,cosmosvaloper1lp97thu3zp7nv4egsw6wuqtjpgwrxycya854ap,0,17752554,17752554,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Cointelegraph Decentralization Guardians,cosmosvaloper1zhu8kmh9gw8zsqjv9vqgmp3p3lkw70wgu9tafv,0,17050742,17050742,10.00%,N,Y,,,N,"uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
IZ0,cosmosvaloper1eup5t8pp8jq354heck53qtama7vss9l354kh6r,0,16087736,16087736,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Matrixed.Link,cosmosvaloper18l2tf0m2wsp28r6q4l8clnlfw664c5vey37pmu,0,14998500,14998500,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Sunshine Validation #solarpower,cosmosvaloper1cv6hnl6sq4srccnzveqe8ggc2tepvvx45vwcwz,0,14942648,14942648,6.93%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Earthstar,cosmosvaloper1mt6mf0ny6cstytjz00kz3h7cyyrh9m5s6tduks,0,14156956,14156956,8.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
kreios,cosmosvaloper1rl23sesp9qc7j9cmntl75v3uu4zetjxnuqskea,0,12615306,12615306,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
-,cosmosvaloper1fagujjmqt4fvnsckz34sth0a9daq953lc0j6cg,0,12359737,12359737,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
tokenweb,cosmosvaloper1kgquh04ffqvadekf6e47070gskm0s0h28cl7ht,0,12284555,12284555,20.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Quebec,cosmosvaloper1slk8a708q5c36e9tgnvx4qhzzg8wmch72ah6du,0,12018803,12018803,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
unicorn-ethermat-1,cosmosvaloper1z3xngnvpyt33dlhrsmcz6pwd4fp47uem9545ed,0,11294998,11294998,6.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
