Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Twinstake,injvaloper1zt0x89kt3jhflyt69l4cpwcxhtgjaxteyhdgdv,0,1020483332921495822883082,1.02048E+24,8.00%,N,Y,,,Y,OK,0.00%,2.52%
BitGo by Twinstake,injvaloper1ae4f9ae2d94kwhn6xlshm34f9fl0p0rkwy9wj5,0,1009637009907821518719506,1.00964E+24,8.00%,N,Y,,,Y,OK,0.00%,2.50%
Black Panther | Delegate for Claimdrop,injvaloper10pe4avat38u38yzj5hvnw235uecfff6c73s8fn,671266887625830552935,936024959820835626227314,9.35354E+23,5.00%,N,Y,,,Y,OK,2.91%,2.31%
miPool,injvaloper1f68rd44mhx5lu9nz4lkq9wjeucj0gcja66sy8l,0,933229500210000000000005,9.3323E+23,10.00%,N,Y,,,Y,OK,0.00%,2.31%
Imperator.co,injvaloper1esud09zs5754g5nlkmrgxsfdj276xm64cgmd3w,519020789401415375954,914467214258799936112184,9.13948E+23,5.00%,N,Y,,,Y,force_included (PoA partner),2.25%,2.26%
Republic,injvaloper1nxq05qdle8w5gm6fagda56euwt4rgvv4ktddcc,615904670089679579486,860731816488187375844190,8.60116E+23,5.00%,N,Y,,,Y,OK,2.67%,2.13%
B-Harvest,injvaloper1zpy3qf7us3m0pxpqkp72gzjv55t70huy33t47x,369081450241006489543,676778634602041979208873,6.7641E+23,10.00%,N,Y,,,Y,OK,1.60%,1.67%
Smart Stake,injvaloper1xwsnq88kc8wcrp34qenxf3dvhl5n02yj93u755,802534765973827117277,655911464967795500609765,6.55109E+23,10.00%,N,Y,,,Y,OK,3.48%,1.62%
HighStakes.ch | Daily Airdrops,injvaloper1f2kdg34689x93cvw2y59z7y46dvz2fk8lhddfz,318332750832868097220,618165475530144554105098,6.17847E+23,5.00%,N,Y,,,Y,OK,1.38%,1.53%
Helios Staking,injvaloper1ffsdugrhfzdyxltjve8v68n6aazyc6p97uhfn0,415216631521132300741,605357842278402534172001,6.04943E+23,5.00%,N,Y,,,Y,OK,1.80%,1.50%
Mblock,injvaloper1nj2fs96zjs4zln4cxuhha2jxhcmzqj5mprmugx,0,600457708229595307139805,6.00458E+23,30.00%,N,Y,,,N,commission>10%,0.00%,
Keplr,injvaloper1845wspsvm3z95a2zycz3t49gn7celq48dlyscc,13391542078899260980,580814611736763014645511,5.80801E+23,5.00%,N,Y,,,Y,force_included (PoA partner),0.06%,1.44%
Citadel.one,injvaloper1hsxaln75wjs033t3spd8a0gawl4jvxawn6v849,442897740289207787468,572284025226908252517452,5.71841E+23,5.00%,N,Y,,,N,name_excluded (citadel.one),1.92%,
AutoStake 🛡️ Slash Protected,injvaloper1acgud5qpn3frwzjrayqcdsdr9vkl3p6hrz34ts,521327548465421666521,555275594527246468096422,5.54754E+23,10.00%,N,Y,,,Y,OK,2.26%,1.37%
NTT DOCOMO GLOBAL,injvaloper177zqwtsnuhax28w5xpmf33wsl7l2xxf6y6xshc,91632336357718341666,550469740558287537257968,5.50378E+23,8.00%,N,Y,,,Y,OK,0.40%,1.36%
Crosnest,injvaloper1fqrdtx7pyps6eytn3356j9cs4f8zl0eevlt3rt,529460228704860709231,508829310379966918906414,5.083E+23,10.00%,N,Y,,,Y,OK,2.30%,1.26%
Deutsche Telekom,injvaloper1nngrhnm65wm8pu7wkah6hfs3vpd0xw463ydd65,876049123222821429361,460300700995917482063549,4.59425E+23,7.00%,N,Y,,,Y,OK,3.80%,1.14%
Allnodes,injvaloper14w4qu60azpz5zkw5yrcvmaxqh6xg5sny7qm6rm,278892206285479095628,459059923833417172835582,4.58781E+23,5.00%,N,Y,,,N,over_32_cap,1.21%,
KoreaUniversity BRI,injvaloper1yc8kjs50gkr56hf7hw7uj7tm8u5qdukwx8ge07,0,437026811395123228745707,4.37027E+23,5.00%,N,Y,,,N,over_32_cap,0.00%,
Lavender.Five Nodes 🐝,injvaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgwg3jckk,346667123078622544950,426284714076487531604002,4.25938E+23,5.00%,N,Y,,,Y,force_included (PoA partner),1.50%,1.05%
Dynamo DeFi,injvaloper17mudupc8qlwpnegqwulz6ajlkhsfta6zg2wg55,0,408465851844543064371797,4.08466E+23,5.00%,N,N,,,N,inactive,0.00%,
Ledger by Chorus One,injvaloper1ntn4j2lsu3k60g8xj9pqshqvdj2q5tygyvczpy,0,406729929455710768685720,4.0673E+23,8.00%,N,Y,,,N,over_32_cap,0.00%,
Google Cloud,injvaloper1vumvzchlgfsu9fnj5xn2zpf7w888sdmjuu33qe,0,399819298181600881294402,3.99819E+23,100.00%,N,Y,,,N,commission>10%,0.00%,
TTT VN,injvaloper1an6hyf4h2au53aa3tuy6yjjr4edsd2xvg5kc2p,0,317869775333893914729692,3.1787E+23,10.00%,N,Y,,,N,over_32_cap,0.00%,
Neptune Foundation,injvaloper1qzu3s7uzydpj0vcgrgp04j7u48pgkesy7zl7t3,9882528379080737991,292646995396140973502069,2.92637E+23,20.00%,N,Y,,,N,commission>10%,0.04%,
Trust Nodes,injvaloper1dyntafvjynns5zyltwgyktej0y5zt84y3npkt4,0,281247122733611809837146,2.81247E+23,10.00%,N,Y,,,N,bottom_5%_stake,0.00%,
